,date,value
0,01-01-1996,163768
1,01-01-1997,166187
2,01-01-1998,168606
3,01-01-1999,171029
4,01-01-2000,173766
5,01-01-2001,176209
6,01-01-2002,178499
7,01-01-2003,180708
8,01-01-2004,182865
9,01-01-2005,184991
10,01-01-2006,187062
11,01-01-2007,189038
12,01-01-2008,191010
13,01-01-2009,192981
14,01-01-2010,194891
15,01-01-2011,196604
16,01-01-2012,198315
17,01-01-2013,200004
18,01-01-2014,201718
19,01-01-2015,203476
20,01-01-2016,205157
21,01-01-2017,206805
22,01-01-2018,208495
23,01-01-2019,210147
24,01-01-2020,211756
